position,data_source,scraped_time,name,company_name
"Chairman,",https://gse.com.gh/Listed-Companies/company-profile/AGA,2017-10-11 15:55:49.817797,R. P. Edey,AngloGold Ashanti Limited
"Deputy Chairman,",https://gse.com.gh/Listed-Companies/company-profile/AGA,2017-10-11 15:55:49.820062,Dr. T. J. Motlatsi,AngloGold Ashanti Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/AGA,2017-10-11 15:55:49.820152,"Sipho Mila Pityana,",AngloGold Ashanti Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/AGA,2017-10-11 15:55:49.820197,"Prof. L. W. Nkuhlu,",AngloGold Ashanti Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/AGA,2017-10-11 15:55:49.820239,"Mr Ferdinand (Fred) Ohene-Kena,",AngloGold Ashanti Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/AGA,2017-10-11 15:55:49.820282,"Srinivasan Venkatakrishnan (Venkat) (CEO),",AngloGold Ashanti Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/AGA,2017-10-11 15:55:49.820322,"Srinivasan Venkatakrishnan (Venkat) (CEO),",AngloGold Ashanti Limited
Chairman,https://gse.com.gh/Listed-Companies/company-profile/ALW,2017-10-11 15:55:50.095334,Mr. Seth Adjei,Aluworks LTD
Managing Director,https://gse.com.gh/Listed-Companies/company-profile/ALW,2017-10-11 15:55:50.095404,Mr. E. Kwasi Okoh,Aluworks LTD
Member,https://gse.com.gh/Listed-Companies/company-profile/ALW,2017-10-11 15:55:50.095445,Togbe Afede XIV,Aluworks LTD
Member,https://gse.com.gh/Listed-Companies/company-profile/ALW,2017-10-11 15:55:50.095483,Mr. Victor K. Djangmah,Aluworks LTD
Member,https://gse.com.gh/Listed-Companies/company-profile/ALW,2017-10-11 15:55:50.095521,Mr. Anthony Ebow Spio,Aluworks LTD
Member,https://gse.com.gh/Listed-Companies/company-profile/ALW,2017-10-11 15:55:50.095559,Prof. Lade Wosornu,Aluworks LTD
Member,https://gse.com.gh/Listed-Companies/company-profile/ALW,2017-10-11 15:55:50.095596,Mr. Kingsley O. Ofosu Obeng,Aluworks LTD
Member,https://gse.com.gh/Listed-Companies/company-profile/ALW,2017-10-11 15:55:50.095633,Mr.Joseph Simple Siilo,Aluworks LTD
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/ACI,2017-10-11 15:55:50.650104,Elkin Pianim-Executive Chairman,African Champion Industries Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/ACI,2017-10-11 15:55:50.650193,Samira Ibrahim Abu,African Champion Industries Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/ACI,2017-10-11 15:55:50.650253,Comfort Yamoah,African Champion Industries Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/ACI,2017-10-11 15:55:50.650311,Francis Kalitsi,African Champion Industries Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/ACI,2017-10-11 15:55:50.650365,Francis Kalitsi,African Champion Industries Ltd.
"Chairman,",https://gse.com.gh/Listed-Companies/company-profile/AADs,2017-10-11 15:55:52.112479,R. P. Edey,AngloGold Ashanti Limited
"Deputy Chairman,",https://gse.com.gh/Listed-Companies/company-profile/AADs,2017-10-11 15:55:52.112563,Dr. T. J. Motlatsi,AngloGold Ashanti Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/AADs,2017-10-11 15:55:52.112628,"F. B. Arisman,",AngloGold Ashanti Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/AADs,2017-10-11 15:55:52.112689,"Sipho Mila Pityana,",AngloGold Ashanti Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/AADs,2017-10-11 15:55:52.112743,"W. A. Nairn,",AngloGold Ashanti Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/AADs,2017-10-11 15:55:52.112796,"Prof. L. W. Nkuhlu,",AngloGold Ashanti Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/AADs,2017-10-11 15:55:52.112847,"Mr Ferdinand (Fred) Ohene-Kena,",AngloGold Ashanti Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/AADs,2017-10-11 15:55:52.112894,"M. Cutifani (CEO),",AngloGold Ashanti Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/AADs,2017-10-11 15:55:52.112940,S. Venkatakrishnan (CFO),AngloGold Ashanti Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/AADs,2017-10-11 15:55:52.113071,S. Venkatakrishnan (CFO),AngloGold Ashanti Limited
"Chairman,",https://gse.com.gh/Listed-Companies/company-profile/CAL,2017-10-11 15:55:53.408611,Paarock Van Percy,CAL Bank Limited
"Managing Director,",https://gse.com.gh/Listed-Companies/company-profile/CAL,2017-10-11 15:55:53.408681,"Frank Brako Adu Jnr.- Managing Director,",CAL Bank Limited
Executive Director;,https://gse.com.gh/Listed-Companies/company-profile/CAL,2017-10-11 15:55:53.408723,Philip Owiredu,CAL Bank Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/CAL,2017-10-11 15:55:53.408762,Philip Owiredu,CAL Bank Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/CAL,2017-10-11 15:55:53.408802,"Leonora Agyarko,",CAL Bank Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/CAL,2017-10-11 15:55:53.408842,"Dr. Kobina Quansah,",CAL Bank Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/CAL,2017-10-11 15:55:53.408881,"Malcolmn Dermott Pryor,",CAL Bank Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/CAL,2017-10-11 15:55:53.408920,"Malcolmn Dermott Pryor,",CAL Bank Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/CAL,2017-10-11 15:55:53.408958,"Malcolmn Dermott Pryor,",CAL Bank Limited
"Chairman,",https://gse.com.gh/Listed-Companies/company-profile/ADB,2017-10-11 15:55:54.380401,Mr. Alex Bernasko,Agricultural Development Bank
"Vice Chairman,",https://gse.com.gh/Listed-Companies/company-profile/ADB,2017-10-11 15:55:54.380482,Mr. Patrick Kingsley-Nyinah,Agricultural Development Bank
"Siakwan,",https://gse.com.gh/Listed-Companies/company-profile/ADB,2017-10-11 15:55:54.380536,Mr. Kwabena Dapaah,Agricultural Development Bank
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/ADB,2017-10-11 15:55:54.380589,Mr. Kwabena Dapaah,Agricultural Development Bank
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/ADB,2017-10-11 15:55:54.380641,Mr. Kwabena Dapaah,Agricultural Development Bank
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/ADB,2017-10-11 15:55:54.380693,Mr. Kwabena Dapaah,Agricultural Development Bank
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/ADB,2017-10-11 15:55:54.380743,Mr. Kwabena Dapaah,Agricultural Development Bank
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/ADB,2017-10-11 15:55:54.380794,Mr. Kwabena Dapaah,Agricultural Development Bank
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/ADB,2017-10-11 15:55:54.380845,Mr. Kwabena Dapaah,Agricultural Development Bank
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/CMLT,2017-10-11 15:55:54.418063,MRS. ELIZABETH JOYCE VILLARS (CHAIRMAN),Camelot Ghana Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/CMLT,2017-10-11 15:55:54.418157,MRS. CAROLINE ANDAH,Camelot Ghana Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/CMLT,2017-10-11 15:55:54.418226,MR. JOHN COLIN VILLARS (Group Managing Director),Camelot Ghana Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/CMLT,2017-10-11 15:55:54.418293,MRS. ELIZABETH ZORMELO,Camelot Ghana Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/CMLT,2017-10-11 15:55:54.418359,PROF. ROBERT E. HINSON,Camelot Ghana Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/CMLT,2017-10-11 15:55:54.418423,PROF. ROBERT E. HINSON,Camelot Ghana Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/CPL,2017-10-11 15:55:56.479851,Nana Odeneho Kyeremateng (Executive,Comet Properties Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/CPL,2017-10-11 15:55:56.479919,Chairman),Comet Properties Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/CPL,2017-10-11 15:55:56.479963,Mr. Samuel Amponsah Kyeremateng,Comet Properties Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/CPL,2017-10-11 15:55:56.480049,Mr. Osei Owusu,Comet Properties Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/CPL,2017-10-11 15:55:56.480095,Mr. Sampson Awuah,Comet Properties Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/CPL,2017-10-11 15:55:56.480145,Mr. Sampson Awuah,Comet Properties Ltd
"Chairman. Paul Jacquaye.   Nana Benyin Hutchful, Prof. Ellis Badu, Robert Alloh",https://gse.com.gh/Listed-Companies/company-profile/CLYD,2017-10-11 15:55:56.778846,George Prah,Clydestone (Ghana) Limited
"Chairman,George Mensah-Asante,Madam Evelyne Tall,Mrs Rosemary Yeboah,Awuraa Abena Asafo-Boakye,Martin Eson-Benjamin-Non-Executive Director",https://gse.com.gh/Listed-Companies/company-profile/EGH,2017-10-11 15:55:56.991533,"Lionel Van Lare Dosoo,Samuel Ashitey Adjei,Kofi Ansah, Morgan Fianko Asiedu,Thomas Chukwuemeka Awagu,Mrs Mariam Gabala Dao,Terrence Ronald Darko",Ecobank Ghana Ltd
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/ETI,2017-10-11 15:55:59.669973,Albert Essien-Group Chief Executive Officer,Ecobank Transnational Incorporation
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/ETI,2017-10-11 15:55:59.670044,Evelyne Tall-Deputy Group Chief Executive Officer,Ecobank Transnational Incorporation
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/ETI,2017-10-11 15:55:59.670086,Evelyne Tall-Deputy Group Chief Executive Officer,Ecobank Transnational Incorporation
"Chairman,",https://gse.com.gh/Listed-Companies/company-profile/EGL,2017-10-11 15:56:01.076557,Trevor Trefgarne,Enterprise Group Limited
"Chief Executive Officer,",https://gse.com.gh/Listed-Companies/company-profile/EGL,2017-10-11 15:56:01.076626,Mr. Keli Gadzekpo,Enterprise Group Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/EGL,2017-10-11 15:56:01.076669,Mr. Keli Gadzekpo,Enterprise Group Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/EGL,2017-10-11 15:56:01.076709,Mr. Keli Gadzekpo,Enterprise Group Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/EGL,2017-10-11 15:56:01.076750,"Angela Ofori-Atta,",Enterprise Group Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/EGL,2017-10-11 15:56:01.076789,"Angela Ofori-Atta,",Enterprise Group Limited
"Group Chief Operations Officer,",https://gse.com.gh/Listed-Companies/company-profile/EGL,2017-10-11 15:56:01.076829,Cleland C. Bruce,Enterprise Group Limited
"Group Chief Finance Officer,",https://gse.com.gh/Listed-Companies/company-profile/EGL,2017-10-11 15:56:01.076868,Daniel Larbi-Tieku,Enterprise Group Limited
Non-Executive Director,https://gse.com.gh/Listed-Companies/company-profile/EGL,2017-10-11 15:56:01.076906,Fiifi Kwakye,Enterprise Group Limited
"Chairman, Jesper B. Jeppesen",https://gse.com.gh/Listed-Companies/company-profile/FML,2017-10-11 15:56:01.339128,Charles Mensa (Dr),Fan Milk Limited
Chairman,https://gse.com.gh/Listed-Companies/company-profile/GOIL,2017-10-11 15:56:02.759257,Prof. William A. Asomaning,Ghana Oil Company Limited
Managing Director,https://gse.com.gh/Listed-Companies/company-profile/GOIL,2017-10-11 15:56:02.759324,Mr. Patrick Akpe Kwame Akorli,Ghana Oil Company Limited
Member,https://gse.com.gh/Listed-Companies/company-profile/GOIL,2017-10-11 15:56:02.759365,Mr. Kojo Bonsu,Ghana Oil Company Limited
Member,https://gse.com.gh/Listed-Companies/company-profile/GOIL,2017-10-11 15:56:02.759402,Hon. Nii Laryea Afotey-Agbo,Ghana Oil Company Limited
Member,https://gse.com.gh/Listed-Companies/company-profile/GOIL,2017-10-11 15:56:02.759440,Nana Esuman Kwesi Yankah,Ghana Oil Company Limited
Bamfo,https://gse.com.gh/Listed-Companies/company-profile/GOIL,2017-10-11 15:56:02.759477,Mr. Eugene Akoto,Ghana Oil Company Limited
Member,https://gse.com.gh/Listed-Companies/company-profile/GOIL,2017-10-11 15:56:02.759514,Mr. Chris Kingsley Kobla A- Ackummey,Ghana Oil Company Limited
Member,https://gse.com.gh/Listed-Companies/company-profile/GOIL,2017-10-11 15:56:02.759588,Mr. Thomas Kofi Manu,Ghana Oil Company Limited
Member,https://gse.com.gh/Listed-Companies/company-profile/GOIL,2017-10-11 15:56:02.759629,Ms. Faustina Nelson,Ghana Oil Company Limited
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GSR,2017-10-11 15:56:04.125254,Tim Baker,Golden Star Resources Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GSR,2017-10-11 15:56:04.125388,Sam Coetzer,Golden Star Resources Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GSR,2017-10-11 15:56:04.125463,Anu Dhir,Golden Star Resources Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GSR,2017-10-11 15:56:04.125520,Jeff Swinoga,Golden Star Resources Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GSR,2017-10-11 15:56:04.125586,Chris Thompson,Golden Star Resources Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GSR,2017-10-11 15:56:04.125640,Robert Doyle,Golden Star Resources Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GSR,2017-10-11 15:56:04.125692,Craig Nelsen,Golden Star Resources Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GSR,2017-10-11 15:56:04.125746,Tony Jensen,Golden Star Resources Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GSR,2017-10-11 15:56:04.125822,Ian MacGregor,Golden Star Resources Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GSR,2017-10-11 15:56:04.125894,Bill Yeates,Golden Star Resources Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GSR,2017-10-11 15:56:04.125966,Daniel Owriedu,Golden Star Resources Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GSR,2017-10-11 15:56:04.126050,Bruce Higson-Smith,Golden Star Resources Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GSR,2017-10-11 15:56:04.126150,Martin Raffield,Golden Star Resources Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GSR,2017-10-11 15:56:04.126244,Mark Thorpe,Golden Star Resources Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GSR,2017-10-11 15:56:04.126302,Mark Thorpe,Golden Star Resources Ltd.
Chairman.,https://gse.com.gh/Listed-Companies/company-profile/GGBL,2017-10-11 15:56:04.179707,David Harlock,Guinness Ghana Breweries Ltd.
Managing.,https://gse.com.gh/Listed-Companies/company-profile/GGBL,2017-10-11 15:56:04.179790,Peter Ndegwa,Guinness Ghana Breweries Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GGBL,2017-10-11 15:56:04.181686,"E. M. Boye,",Guinness Ghana Breweries Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GGBL,2017-10-11 15:56:04.181876,"Mr. Charles Kimeria Mwangi,",Guinness Ghana Breweries Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GGBL,2017-10-11 15:56:04.181930,"P. V. Obeng,",Guinness Ghana Breweries Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GGBL,2017-10-11 15:56:04.181980,"Mr. Didier Francis Martial Leleu, Mr. James Kweku Inkoom,",Guinness Ghana Breweries Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GGBL,2017-10-11 15:56:04.182038,"Katherine Joanna Seljeflot,",Guinness Ghana Breweries Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GGBL,2017-10-11 15:56:04.182084,"H. Essie Humphrey-Ackuney,",Guinness Ghana Breweries Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GGBL,2017-10-11 15:56:04.182130,"Mr. Leo Breen,",Guinness Ghana Breweries Ltd.
Managing Member,https://gse.com.gh/Listed-Companies/company-profile/GGBL,2017-10-11 15:56:04.182175,"Mr. Simon Harvey,",Guinness Ghana Breweries Ltd.
